0000,C,藤ヶ谷 陽介,GK,高梨,優等生,早熟２,標準４,標準１
0001,C,西澤 淳二,CDF,阿見,普通,標準４,標準１,標準４
0002,C,佐藤 尽,CDF,東条,普通,標準１,早熟３,標準２
0003,C,大森 健作,SDF,鬼茂,優等生,標準４,標準４,晩成２
0004,E,中尾 康二,DMF,御厨,普通,標準２,標準３,標準４
0005,D,吉瀬 広志,DMF,鬼茂,優等生,早熟３,早熟３,標準２
0006,F,鎌田 安啓,OMF,那智,普通,標準２,早熟３,標準２
0007,D,三原 廣樹,DMF,御厨,無口,早熟３,標準１,標準１
0008,D,砂川 誠,OMF,萩原,普通,標準２,早熟３,標準２
0009,D,清野 智秋,FW,東条,普通,早熟３,早熟３,標準５
000A,D,堀井 岳也,FW,高梨,普通,標準２,標準３,早熟３
000B,D,相川 進也,FW,那智,無口,標準２,標準３,標準１
000C,F,鈴木 智樹,DMF,東条,優等生,早熟３,標準５,標準２
000D,E,桑原 剛,OMF,那智,優等生,標準２,早熟３,標準４
000E,D,曽田 雄志,CDF,東条,普通,早熟３,標準２,標準５
000F,E,阿部 哲也,GK,御厨,無口,早熟３,早熟３,早熟３
0010,D,新居 辰基,FW,東条,普通,早熟３,早熟３,標準５
0011,F,斉川 雄介,FW,萩原,無口,早熟３,標準５,標準１
0012,E,市村 篤司,DMF,那智,普通,早熟２,早熟２,標準１
0013,E,尾崎 祐司,SMF,東条,優等生,標準２,標準５,早熟２
0014,F,上里 一将,OMF,那智,普通,標準２,早熟３,標準２
0015,E,岡田 佑樹,SDF,萩原,能天気,標準２,標準４,早熟３
0016,D,田畑 昭宏,CDF,岩城,普通,標準２,早熟３,早熟３
0017,E,河端 和哉,SDF,萩原,普通,標準２,標準４,早熟３
0018,F,蛯沢 匠吾,GK,那智,普通,標準２,標準４,標準３
0019,F,上田 常幸,CDF,鬼茂,優等生,標準１,標準３,標準１
001A,C,小針 清允,GK,御厨,主将,標準１,標準３,標準１
001B,C,渡辺 晋,CDF,那智,普通,標準４,標準１,晩成２
001C,C,ガスパル,CDF,那智,普通,標準４,標準１,晩成２
001D,C,森川 拓巳,SDF,那智,普通,標準４,標準１,標準１
001E,B,シルビーニョ,DMF,御厨,無口,標準２,標準２,標準３
001F,D,石井 俊也,DMF,御厨,主将,早熟３,標準２,標準２
0020,C,財前 宣之,OMF,東条,普通,早熟３,標準２,標準１
0021,D,菅井 直樹,DMF,阿見,普通,標準２,標準２,早熟３
0022,D,村上 和弘,DMF,御厨,優等生,早熟３,標準１,標準１
0023,C,大柴 克友,FW,高梨,普通,早熟３,標準２,標準５
0024,B,佐藤 寿人,FW,東条,普通,早熟２,標準４,標準３
0025,D,數馬 正浩,CDF,萩原,普通,標準２,早熟３,早熟３
0026,D,原崎 政人,SMF,萩原,優等生,早熟２,標準２,標準２
0027,C,西谷 正也,SMF,御厨,無口,標準５,標準２,標準３
0028,F,萬代 宏樹,FW,萩原,普通,早熟３,標準５,標準１
0029,C,高桑 大二朗,GK,御厨,主将,標準４,晩成２,晩成２
002A,D,小原 章吾,CDF,岩城,金クレ,早熟３,標準５,標準２
002B,D,村田 達哉,SDF,那智,普通,標準１,標準４,標準１
002C,D,千葉 直樹,DMF,御厨,能天気,標準１,標準４,標準１
002D,E,中田 洋介,OMF,那智,普通,標準２,早熟３,標準４
002E,F,関口 訓充,OMF,那智,優等生,標準２,早熟３,標準２
002F,E,西 洋祐,SMF,高梨,無口,標準２,標準３,標準２
0030,B,マルコス,FW,那智,主将,標準４,晩成２,晩成２
0031,D,中原 貴之,FW,東条,優等生,標準２,標準４,晩成２
0032,E,萩原 達郎,GK,那智,普通,早熟３,標準２,標準５
0033,F,大河内 英樹,CDF,那智,普通,標準２,早熟３,標準３
0034,E,秋葉 竜児,SMF,高梨,無口,標準２,標準３,標準２
0035,D,森田 耕一郎,GK,岩城,普通,標準４,早熟２,標準３
0036,A,曽ヶ端 準,GK,東条,普通,標準２,標準２,標準３
0037,A,名良橋 晃,SDF,御厨,無口,標準３,晩成１,標準４
0038,D,金古 聖司,CDF,那智,金クレ,標準５,早熟３,標準５
0039,A,大岩 剛,CDF,御厨,普通,標準１,標準４,標準４
003A,B,新井場 徹,SDF,東条,普通,標準１,標準４,標準１
003B,A,中田 浩二,DMF,東条,能天気,標準２,早熟３,標準３
003C,A,小笠原 満男,OMF,鬼茂,能天気,標準２,標準４,早熟３
003D,B,本山 雅志,OMF,萩原,普通,早熟３,早熟３,標準２
003E,B,フェルナンド,DMF,高梨,主将,標準３,標準２,標準１
003F,A,ファビオ・ジュニオール,FW,岩城,金クレ,早熟２,標準５,標準２
0040,C,平瀬 智行,FW,御厨,主将,早熟３,早熟３,標準３
0041,D,岩政 大樹,CDF,那智,普通,標準５,早熟３,標準５
0042,C,熊谷 浩二,DMF,那智,金クレ,標準４,標準１,晩成２
0043,B,青木 剛,DMF,那智,普通,早熟３,早熟３,標準５
0044,B,深井 正樹,FW,東条,普通,早熟２,早熟３,早熟３
0045,C,小澤 英明,GK,阿見,無口,標準１,標準４,標準４
0046,C,羽田 憲司,CDF,阿見,無口,早熟３,早熟２,標準２
0047,D,池内 友彦,CDF,那智,普通,標準２,標準２,標準２
0048,C,内田 潤,SDF,高梨,優等生,標準４,晩成２,晩成２
0049,C,石川 竜也,SDF,萩原,優等生,標準２,標準１,標準３
004A,B,本田 泰人,DMF,御厨,主将,標準４,標準１,晩成２
004B,D,大谷 昌司,OMF,那智,普通,標準３,標準２,標準１
004C,C,野沢 拓也,OMF,東条,優等生,早熟３,標準３,標準２
004D,C,中島 裕希,FW,萩原,普通,標準４,早熟３,標準１
004E,E,首藤 慎一,GK,東条,普通,早熟２,標準３,標準３
004F,E,増田 誓志,OMF,那智,普通,標準２,早熟３,標準４
0050,F,田中 康平,FW,萩原,優等生,早熟３,標準５,標準１
0051,E,杉山 哲,GK,東条,普通,早熟２,標準３,標準３
0052,A,都築 龍太,GK,高梨,普通,標準４,標準１,標準１
0053,A,坪井 慶介,CDF,東条,普通,標準１,標準１,標準３
0054,B,田中 マルクス闘莉王,CDF,御厨,主将,標準５,標準５,早熟２
0055,C,室井 市衛,CDF,岩城,能天気,標準４,晩成２,標準１
0056,A,山田 暢久,SMF,岩城,金クレ,標準１,標準４,標準１
0057,B,酒井 友之,DMF,東条,主将,標準１,標準１,標準１
0058,B,鈴木 啓太,DMF,高梨,普通,標準３,標準２,標準１
0059,A,三都主 アレサンドロ,SMF,御厨,無口,標準３,標準４,晩成２
005A,B,山瀬 功治,OMF,萩原,優等生,標準２,標準３,標準１
005B,A,エメルソン,FW,岩城,金クレ,早熟２,標準５,標準２
005C,A,田中 達也,FW,那智,普通,早熟２,標準４,標準１
005D,C,内舘 秀樹,DMF,東条,普通,標準１,標準１,標準４
005E,C,平川 忠亮,SMF,岩城,能天気,早熟２,標準１,標準２
005F,B,永井 雄一郎,FW,御厨,主将,標準２,標準３,早熟３
0060,B,岡野 雅行,FW,那智,普通,標準２,標準２,超早熟
0061,C,山岸 範宏,GK,東条,優等生,標準４,晩成２,標準４
0062,B,ニキフォロフ,CDF,鬼茂,主将,特殊１,早熟２,標準３
0063,D,三上 卓哉,SMF,東条,優等生,標準３,標準２,標準２
0064,C,千島 徹,OMF,那智,普通,標準５,標準３,標準３
0065,C,長谷部 誠,OMF,御厨,金クレ,標準２,標準３,早熟３
0066,E,西村 卓朗,SMF,那智,普通,標準４,晩成２,標準４
0067,D,堀之内 聖,DMF,岩城,能天気,早熟３,早熟３,標準２
0068,D,小林 宏之,CDF,高梨,普通,早熟３,標準４,標準２
0069,C,梅田 直哉,FW,岩城,金クレ,標準２,標準３,標準３
006A,D,徳重 健太,GK,鬼茂,無口,標準２,標準４,標準４
006B,E,中川 直樹,CDF,岩城,無口,早熟３,標準３,早熟３
006C,E,南 祐三,CDF,高梨,普通,標準５,標準２,標準２
006D,F,横山 拓也,FW,萩原,無口,早熟３,標準５,標準１
006E,F,新井 翔太,FW,萩原,普通,早熟３,標準５,標準１
006F,D,加藤 順大,GK,東条,優等生,標準１,標準３,晩成２
0070,C,櫛野 亮,GK,御厨,普通,標準１,標準４,標準３
0071,D,斎藤 大輔,CDF,御厨,普通,標準１,標準１,標準１
0072,A,ミリノビッチ,CDF,御厨,無口,標準４,晩成２,晩成２
0073,C,茶野 隆行,CDF,東条,普通,標準４,晩成２,晩成２
0074,C,坂本 將貴,SMF,御厨,無口,標準１,標準４,標準４
0075,C,佐藤 勇人,DMF,岩城,能天気,早熟３,標準５,標準２
0076,B,阿部 勇樹,DMF,萩原,普通,標準３,標準３,晩成２
0077,C,村井 慎二,SMF,東条,普通,標準５,早熟３,標準２
0078,C,羽生 直剛,OMF,岩城,能天気,標準１,標準４,標準３
0079,B,サンドロ,FW,東条,主将,早熟３,標準３,標準３
007A,B,マルキーニョス,FW,鬼茂,普通,標準２,標準１,標準１
007B,E,結城 耕造,CDF,岩城,普通,標準４,標準４,晩成２
007C,B,望月 重良,OMF,岩城,金クレ,標準２,標準２,標準１
007D,D,山岸 智,SMF,鬼茂,主将,標準５,早熟３,早熟２
007E,C,林 丈統,FW,那智,普通,早熟３,標準５,標準２
007F,D,立石 智紀,GK,萩原,優等生,早熟３,標準５,早熟３
0080,D,鷲田 雅一,CDF,東条,金クレ,標準４,晩成２,晩成２
0081,F,水本 裕貴,CDF,那智,優等生,標準３,標準２,標準１
0082,E,工藤 浩平,DMF,東条,無口,標準５,標準３,晩成２
0083,D,中島 浩司,DMF,那智,普通,標準１,標準３,標準４
0084,E,楽山 孝志,DMF,東条,普通,標準１,標準３,標準５
0085,E,金 位漫,SMF,岩城,普通,標準２,標準２,標準３
0086,C,巻 誠一郎,FW,岩城,普通,標準４,早熟２,標準２
0087,D,羽地 登志晃,FW,那智,優等生,標準１,早熟３,標準５
0088,E,岡本 昌弘,GK,高梨,普通,早熟２,標準５,標準２
0089,E,野本 安啓,DMF,岩城,能天気,標準５,標準５,早熟３
008A,F,椎原 拓也,OMF,那智,普通,標準２,早熟３,標準２
008B,F,水野 晃樹,SMF,東条,普通,標準２,標準３,標準２
008C,E,市原 充喜,FW,御厨,普通,標準５,標準２,標準１
008D,B,南 雄太,GK,御厨,無口,標準１,標準３,標準２
008E,C,渡辺 毅,CDF,鬼茂,主将,標準４,標準１,標準１
008F,B,永田 充,CDF,御厨,主将,標準５,早熟３,早熟３
0090,C,近藤 直也,CDF,鬼茂,無口,早熟３,標準４,標準３
0091,A,ドゥドゥ,DMF,東条,能天気,標準２,早熟３,標準３
0092,A,明神 智和,DMF,萩原,普通,標準２,標準３,標準４
0093,B,リカルジーニョ,OMF,那智,金クレ,早熟３,標準２,標準２
0094,B,平山 智規,SMF,東条,普通,早熟３,標準５,標準５
0095,B,下平 隆宏,DMF,鬼茂,主将,早熟３,標準５,標準２
0096,B,山下 芳輝,FW,御厨,主将,標準１,標準４,標準４
0097,C,玉田 圭司,FW,高梨,普通,早熟２,早熟２,標準５
0098,D,中澤 聡太,CDF,岩城,普通,標準５,早熟３,標準５
0099,B,ゼ・ホベルト,OMF,那智,金クレ,早熟３,標準２,標準２
009A,D,谷澤 達也,OMF,御厨,無口,標準１,標準４,早熟２
009B,C,矢野 貴章,FW,東条,金クレ,早熟３,標準４,標準３
009C,E,清水 健太,GK,高梨,普通,早熟２,早熟２,早熟２
009D,C,根引 謙介,CDF,高梨,普通,標準１,標準３,標準３
009E,B,薩川 了洋,CDF,東条,普通,標準２,標準２,標準１
009F,C,加藤 望,OMF,御厨,主将,標準４,標準４,晩成２
00A0,C,増田 忠俊,OMF,高梨,普通,早熟３,早熟３,早熟３
00A1,D,田ノ上 信也,SMF,岩城,優等生,標準２,早熟３,早熟３
00A2,D,永井 俊太,DMF,那智,普通,標準２,標準２,標準３
00A3,D,大谷 秀和,DMF,岩城,能天気,早熟２,標準１,早熟３
00A4,C,宇野沢 祐次,FW,萩原,優等生,標準１,標準１,標準４
00A5,E,ノグチピント,GK,那智,金クレ,持続２,早熟２,早熟３
00A6,D,落合 正幸,DMF,高梨,優等生,標準２,標準１,標準２
00A7,C,茂原 岳人,DMF,鬼茂,優等生,標準５,標準５,早熟３
00A8,E,菅沼 実,FW,東条,普通,標準１,早熟３,標準３
00A9,D,小峯 隆幸,CDF,那智,金クレ,標準５,早熟３,標準５
00AA,A,土肥 洋一,GK,高梨,能天気,標準２,標準３,早熟３
00AB,A,加地 亮,SDF,岩城,能天気,標準１,標準１,標準１
00AC,A,茂庭 照幸,CDF,高梨,優等生,早熟２,早熟３,標準５
00AD,B,ジャーン,CDF,御厨,無口,標準１,標準４,標準３
00AE,C,金沢 浄,SDF,岩城,能天気,標準１,標準２,標準３
00AF,B,三浦 文丈,DMF,萩原,普通,早熟２,標準１,標準２
00B0,B,宮沢 正史,DMF,萩原,普通,早熟３,標準２,早熟３
00B1,A,石川 直宏,SMF,萩原,普通,早熟２,標準３,標準１
00B2,B,戸田 光洋,SMF,岩城,金クレ,早熟３,標準２,標準２
00B3,B,ケリー,OMF,東条,普通,標準１,標準４,標準１
00B4,A,ルーカス,FW,岩城,金クレ,早熟２,標準５,標準２
00B5,C,藤山 竜仁,SDF,高梨,普通,早熟３,早熟３,標準２
00B6,B,今野 泰幸,DMF,鬼茂,優等生,早熟３,早熟３,標準２
00B7,D,鈴木 規郎,SMF,鬼茂,普通,標準２,早熟３,早熟３
00B8,C,阿部 吉朗,FW,萩原,普通,標準４,早熟３,早熟３
00B9,D,塩田 仁史,GK,御厨,普通,標準３,標準２,標準３
00BA,D,増嶋 竜也,CDF,那智,優等生,標準５,早熟３,標準５
00BB,E,前田 和也,CDF,岩城,金クレ,標準４,標準４,晩成２
00BC,D,呉 章銀,SMF,御厨,金クレ,標準１,早熟２,標準２
00BD,D,馬場 憂太,OMF,高梨,普通,早熟３,標準５,標準５
00BE,E,大谷 圭志,DMF,鬼茂,優等生,超早熟,早熟２,標準３
00BF,D,梶山 陽平,DMF,那智,優等生,標準２,標準２,標準１
00C0,D,小林 成光,SMF,萩原,無口,早熟２,標準５,標準２
00C1,D,近藤 祐介,FW,高梨,能天気,標準３,早熟３,標準２
00C2,E,近藤 健一,GK,御厨,能天気,標準３,標準１,標準２
00C3,F,中村 亮,SDF,那智,無口,標準１,標準１,標準１
00C4,D,松本 昂聡,CDF,那智,普通,早熟２,早熟２,標準５
00C5,E,李 忠成,FW,那智,主将,標準１,早熟３,標準５
00C6,B,高木 義成,GK,岩城,金クレ,標準２,標準２,標準３
00C7,A,ウベダ,CDF,御厨,主将,標準４,晩成２,晩成２
00C8,B,米山 篤志,CDF,東条,普通,早熟３,標準５,標準２
00C9,B,三浦 淳宏,SDF,東条,普通,標準２,早熟３,標準３
00CA,D,柳沢 将之,SDF,高梨,普通,標準１,標準２,標準２
00CB,A,山田 卓也,DMF,東条,普通,標準４,標準４,標準４
00CC,B,林 健太郎,DMF,鬼茂,優等生,標準１,標準３,標準４
00CD,B,ウーゴ,OMF,御厨,金クレ,早熟３,標準２,標準２
00CE,B,平野 孝,SMF,那智,普通,早熟３,標準２,標準４
00CF,A,エムボマ,FW,御厨,主将,標準１,標準４,標準４
00D0,C,桜井 直人,FW,那智,金クレ,標準２,早熟３,標準３
00D1,C,小林 大悟,SMF,鬼茂,主将,早熟３,早熟３,早熟３
00D2,C,小林 慶行,DMF,萩原,普通,標準４,晩成２,標準４
00D3,B,平本 一樹,FW,岩城,能天気,早熟３,標準５,早熟３
00D4,E,飯尾 一慶,FW,萩原,優等生,標準２,標準２,標準３
00D5,C,水原 大樹,GK,萩原,普通,標準２,標準３,標準２
00D6,C,富澤 清太郎,CDF,萩原,普通,標準３,標準２,標準１
00D7,E,相馬 崇人,SDF,東条,金クレ,早熟３,標準４,標準３
00D8,F,戸川 健太,CDF,鬼茂,普通,早熟３,標準５,標準３
00D9,D,一柳 夢吾,SDF,那智,能天気,早熟３,早熟３,標準３
00DA,D,根占 真伍,DMF,高梨,優等生,早熟３,早熟３,標準３
00DB,F,小野 雄平,DMF,東条,普通,標準３,標準５,標準５
00DC,D,久場 政朋,SMF,那智,無口,早熟３,標準１,標準２
00DD,D,玉乃 淳,OMF,岩城,普通,標準５,早熟２,標準３
00DE,F,常澤 聡,GK,東条,優等生,標準４,標準１,標準１
00DF,A,榎本 達也,GK,高梨,能天気,標準２,標準３,標準２
