藤谷 阳介,0,5,7,0,1,7,6,22,22
西泽 淳二,1,5,6,3,7,6,7,13,16
佐藤 尽,1,5,4,3,6,3,4,1,16
大森 健作,2,5,1,0,7,7,8,38,15
中尾 康二,3,7,5,3,4,5,7,46,0
吉濑 广志,3,6,1,0,3,3,4,40,0
镰田 安启,5,8,2,3,4,3,4,22,0
三原 广树,3,6,5,1,3,6,6,41,0
砂川 诚,5,6,0,3,4,3,4,12,8
清野 智秋,6,6,4,3,3,3,2,15,0
堀井 岳也,6,6,7,3,4,5,3,19,0
相川 进也,6,6,2,1,4,5,6,11,6
铃木 智树,3,8,4,0,3,2,4,1,0
桑原 刚,5,7,2,0,4,3,7,40,4
曾田 雄志,1,6,4,3,3,4,2,1,16
阿部 哲也,0,7,5,1,3,3,3,1,0
新田瞬 Z,6,4,4,3,3,3,2,22,3
齐川 雄介,6,8,0,1,3,2,6,1,0
市村 笃司,3,7,2,3,1,1,6,1,0
尾崎 佑司,4,7,4,0,4,2,1,1,0
上里 一将,5,8,2,3,4,3,4,47,0
冈田 佑树,2,7,0,2,4,7,3,22,5
田畑 昭宏,1,6,3,3,4,3,3,11,16
岸田猛 Z,2,5,0,3,4,7,3,22,15
蛯泽 匠吾,0,8,2,3,4,7,5,1,0
上田 常幸,1,8,1,0,6,5,6,45,0
小针 清允,0,5,5,4,6,5,6,13,21
渡边 晋,1,5,2,3,7,6,8,13,17
卡斯帕,1,5,2,3,7,6,8,85,16
森川 拓巳,2,5,2,3,7,6,6,22,15
西尔维尼奥,3,4,5,1,4,4,5,157,11
石井 俊也,3,6,5,4,3,4,4,22,0
财前 宣之,5,5,4,3,3,4,6,1,7
菅井 直树,3,6,6,3,4,4,3,6,11
村上 和弘,3,6,5,0,3,6,6,24,10
大柴 克友,6,5,7,3,3,4,2,19,3
佐藤 寿人,6,4,4,3,1,7,5,11,12
数马 正浩,1,6,0,3,4,3,3,14,16
原崎 政人,4,6,0,0,1,4,4,2,0
西谷 正也,4,5,5,1,2,4,5,36,13
来生哲兵 Z,6,5,0,3,3,2,6,4,2
高桑 大二朗,0,5,5,4,7,8,8,13,21
小原 章吾,1,6,3,5,3,2,4,14,17
村田 达哉,2,6,2,3,6,7,6,13,0
千叶 直树,3,6,5,2,6,7,6,4,0
中田 洋介,5,7,2,3,4,3,7,3,0
井泽守 Z,5,5,4,0,4,3,4,22,9
泷一 Z,4,5,2,1,4,1,4,22,13
马科斯,6,4,2,4,7,8,8,157,1
中原 贵之,6,6,4,0,4,7,8,35,0
萩原 达郎,0,7,2,3,3,4,2,46,0
大河内 英树,1,8,2,3,4,3,5,23,0
秋叶 龙儿,4,7,7,1,4,5,4,22,0
森田 耕一郎,0,6,3,3,7,1,5,13,0
曾端 准,0,3,4,3,4,4,5,8,22
名良桥 晃,2,3,5,1,5,9,7,12,15
金古 圣司,1,6,2,5,2,3,2,40,16
大岩 刚,1,3,5,3,6,7,7,22,17
新井场 彻,2,4,4,3,6,7,6,27,14
中田 浩二,3,3,4,2,4,3,5,25,10
小笠原 满男,5,3,1,2,4,7,3,3,8
本山 雅志,5,4,0,3,3,3,4,40,3
费尔南多,3,4,7,4,5,4,6,157,10
儒尼奥尔 F,6,3,3,5,1,2,4,157,1
平濑 智行,6,5,5,4,3,3,5,13,1
岩政 大树,1,6,2,3,2,3,2,35,16
熊谷 浩二,3,5,2,5,7,6,8,2,10
青木 刚,3,4,2,3,3,3,2,10,11
深井 正树,6,4,4,3,1,3,3,19,3
小泽 英明,0,5,6,1,6,7,7,8,22
羽田 宪司,1,5,6,1,3,1,4,12,18
池内 友彦,1,6,2,3,4,4,4,1,0
内田 笃人,2,3,2,1,7,6,8,22,14
石川 龙也,2,5,0,0,4,6,5,22,15
本田 泰人,3,4,5,4,7,6,8,40,10
大谷 昌司,5,6,2,3,5,4,6,10,0
野泽 拓也,5,5,4,0,3,5,4,8,5
火野龙马 Z,6,3,1,4,7,3,6,160,1
首藤 慎一,0,7,4,3,1,5,5,44,21
增田 誓志,5,7,2,3,4,3,7,45,0
田中 康平,6,8,0,0,3,2,6,1,0
杉山 哲,0,7,4,3,1,5,5,43,0
都筑 龙太,0,3,7,3,7,6,6,29,21
坪井 庆介,1,3,4,3,6,6,5,13,16
田中 斗莉王,1,4,5,4,2,2,1,49,16
室井 市卫,1,5,3,2,7,8,6,11,16
山田 畅久,4,3,3,5,6,7,6,22,13
酒井 友之,3,4,4,4,6,6,6,11,10
铃木 启太,3,4,7,3,5,4,6,22,10
三都主,4,3,5,1,5,7,8,49,12
山濑 功治,5,4,0,0,4,5,6,1,8
埃莫森 M,6,3,3,5,1,2,4,157,5
田中 达也,6,3,2,3,1,7,6,35,5
内馆 秀树,3,5,4,3,6,6,7,11,10
平川 忠亮,4,5,3,2,1,6,4,22,13
永井 雄一郎,6,4,5,4,4,5,3,13,12
冈野 雅行,6,4,2,3,4,4,0,14,5
山岸 范宏,0,5,4,0,7,8,7,11,22
尼基福奥洛夫,1,4,1,4,15,1,5,84,17
三上 卓哉,4,6,4,0,5,4,4,11,13
千岛 彻,5,5,2,3,2,5,5,11,7
长谷部 诚,3,4,5,0,4,5,3,22,9
西村 卓朗,4,7,2,3,7,8,7,13,0
堀之内 圣,3,6,3,2,3,3,4,11,0
小林 宏之,1,6,7,3,3,7,4,1,0
罗伯特本乡 Z,6,3,0,0,4,5,5,157,23
西川 周作,0,3,4,3,4,7,7,44,21
中川 直树,1,7,3,1,3,5,3,11,0
南 佑三,1,7,7,3,2,4,4,11,0
横山 拓也,6,8,0,1,3,2,6,22,0
新井 翔太,6,8,0,3,3,2,6,11,0
加藤 顺大,0,6,4,0,6,5,8,11,0
栉野 亮,0,5,5,3,6,7,5,43,21
斋藤 大辅,1,6,5,3,6,6,6,23,16
